iter	Passed	Remaining
0	252	252512
1	450	224922
2	626	208060
3	798	198858
4	987	196495
5	1160	192311
6	1334	189325
7	1513	187622
8	1688	185961
9	1856	183746
10	2028	182388
11	2201	181247
12	2374	180245
13	2548	179518
14	2715	178350
15	2881	177236
16	3061	177040
17	3229	176176
18	3385	174791
19	3581	175490
20	3760	175300
21	3939	175110
22	4103	174290
23	4277	173941
24	4442	173245
25	4619	173055
26	4791	172654
27	4969	172521
28	5140	172113
29	5304	171518
30	5476	171184
31	5648	170875
32	5829	170810
33	6006	170649
34	6168	170084
35	6338	169723
36	6497	169107
37	6687	169301
38	6873	169375
39	7066	169594
40	7254	169684
41	7428	169446
42	7604	169253
43	7770	168838
44	7954	168810
45	8142	168865
46	8305	168403
47	8463	167861
48	8634	167579
49	8799	167184
50	8969	166912
51	9151	166846
52	9336	166816
53	9519	166769
54	9704	166733
55	9896	166823
56	10081	166789
57	10248	166456
58	10400	165873
59	10559	165430
60	10702	164745
61	10865	164381
62	11007	163720
63	11156	163158
64	11301	162565
65	11449	162028
66	11596	161481
67	11751	161065
68	11891	160443
69	12041	159982
70	12188	159483
71	12352	159211
72	12524	159041
73	12675	158609
74	12822	158147
75	12969	157686
76	13114	157208
77	13258	156727
78	13402	156252
79	13553	155859
80	13690	155331
81	13842	154973
82	13991	154584
83	14138	154178
84	14284	153765
85	14422	153279
86	14570	152901
87	14726	152620
88	14871	152223
89	15013	151800
90	15158	151416
91	15297	150982
92	15436	150548
93	15583	150200
94	15724	149793
95	15864	149393
96	16006	149013
97	16148	148627
98	16300	148353
99	16441	147971
100	16580	147579
101	16730	147296
102	16891	147102
103	17024	146671
104	17136	146069
105	17250	145493
106	17374	145006
107	17508	144605
108	17639	144188
109	17764	143732
110	17916	143496
111	18056	143161
112	18190	142787
113	18326	142435
114	18454	142022
115	18590	141673
116	18734	141392
117	18874	141080
118	19017	140793
119	19176	140626
120	19308	140262
121	19449	139975
122	19598	139736
123	19743	139475
124	19878	139150
125	20022	138883
126	20160	138582
127	20293	138248
128	20429	137938
129	20565	137633
130	20716	137425
131	20858	137163
132	20981	136771
133	21136	136596
134	21290	136414
135	21442	136222
136	21583	135962
137	21717	135657
138	21850	135349
139	22005	135173
140	22147	134927
141	22282	134633
142	22416	134341
143	22570	134169
144	22718	133959
145	22851	133663
146	23009	133515
147	23150	133270
148	23307	133118
149	23465	132968
150	23615	132778
151	23772	132627
152	23906	132344
153	24036	132044
154	24172	131776
155	24340	131690
156	24475	131417
157	24611	131154
158	24766	130997
159	24926	130863
160	25068	130637
161	25217	130446
162	25358	130214
163	25483	129903
164	25625	129681
165	25788	129564
166	25921	129295
167	26057	129047
168	26197	128817
169	26344	128624
170	26503	128488
171	26671	128397
172	26832	128266
173	26979	128074
174	27143	127963
175	27294	127788
176	27446	127618
177	27598	127447
178	27726	127167
179	27877	126997
180	28034	126851
181	28173	126624
182	28330	126480
183	28484	126322
184	28631	126131
185	28790	125997
186	28922	125741
187	29083	125617
188	29244	125487
189	29385	125274
190	29531	125083
191	29697	124975
192	29859	124854
193	30007	124670
194	30166	124532
195	30318	124367
196	30465	124181
197	30600	123946
198	30728	123686
199	30865	123463
200	31022	123317
201	31190	123217
202	31326	122991
203	31464	122774
204	31609	122581
205	31763	122429
206	31906	122230
207	32054	122052
208	32191	121834
209	32337	121651
210	32491	121496
211	32655	121379
212	32820	121266
213	32966	121081
214	33102	120861
215	33236	120636
216	33366	120394
217	33532	120285
218	33684	120124
219	33823	119920
220	33983	119788
221	34132	119617
222	34258	119368
223	34415	119225
224	34578	119105
225	34737	118969
226	34888	118805
227	35033	118623
228	35174	118424
229	35317	118236
230	35459	118046
231	35593	117827
232	35741	117656
233	35884	117467
234	36044	117337
235	36197	117181
236	36359	117057
237	36487	116820
238	36623	116613
239	36804	116548
240	36942	116347
241	37093	116185
242	37254	116055
243	37419	115937
244	37574	115792
245	37720	115613
246	37863	115428
247	38006	115245
248	38169	115121
249	38324	114973
250	38448	114732
251	38595	114559
252	38740	114384
253	38888	114216
254	39045	114072
255	39204	113937
256	39393	113889
257	39527	113681
258	39682	113531
259	39827	113355
260	39958	113139
261	40124	113021
262	40292	112910
263	40428	112710
264	40567	112516
265	40718	112358
266	40860	112173
267	40993	111967
268	41166	111867
269	41308	111685
270	41471	111558
271	41627	111415
272	41793	111296
273	41937	111119
274	42091	110968
275	42228	110772
276	42376	110607
277	42533	110464
278	42669	110266
279	42802	110062
280	42931	109850
281	43084	109697
282	43245	109566
283	43405	109431
284	43557	109276
285	43682	109053
286	43833	108897
287	43982	108734
288	44130	108569
289	44297	108452
290	44438	108270
291	44589	108114
292	44753	107989
293	44903	107830
294	45049	107661
295	45201	107505
296	45337	107313
297	45485	107150
298	45624	106965
299	45786	106834
300	45921	106642
301	46077	106495
302	46223	106329
303	46393	106216
304	46555	106086
305	46683	105875
306	46830	105711
307	46985	105565
308	47144	105427
309	47292	105264
310	47451	105125
311	47592	104947
312	47765	104840
313	47934	104722
314	48077	104550
315	48226	104389
316	48388	104255
317	48530	104081
318	48685	103933
319	48834	103773
320	48988	103623
321	49122	103431
322	49285	103301
323	49441	103156
324	49579	102972
325	49732	102820
326	49893	102687
327	50059	102561
328	50210	102405
329	50381	102290
330	50516	102100
331	50654	101919
332	50803	101758
333	50940	101576
334	51083	101403
335	51232	101245
336	51395	101114
337	51567	100999
338	51729	100865
339	51888	100724
340	52030	100552
341	52197	100427
342	52342	100258
343	52506	100128
344	52646	99952
345	52761	99727
346	52903	99556
347	53053	99398
348	53200	99237
349	53356	99090
350	53493	98909
351	53662	98788
352	53775	98563
353	53940	98433
